Data Broker Name,Email Address (Accessible to the public),Website URL,Privacy policy URL,Opt out URL,Physical Address,How a consumer may opt out of sale or submit requests under the CCPA,How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1),Additional information about data collecting practices,Date Added to California AG list ( https://oag.ca.gov/data-brokers ),Kanary,Vermont ID,stopdatamining.me,Criteo data partner,Excessive opt-out,Notes
SafeGraph Inc.,privacy [at] safegraph.com,http://www.safegraph.com,,,"1543 Mission St.Ste 300SAN FRANCISCO, CA 94103-2512United States",Consumers may opt out of sale or submit requests to SafeGraph by submitting their email and Advertising ID number here: https://www.safegraph.com/do-not-sell-my-info,"SafeGraph does not display or permit the display of such information, or operate a website that involves user generated content.",Additional information about SafeGraph's data collection practices can be found here: https://www.safegraph.com/ccpa-privacy-policy,04/08/2020,,,,,,
SageStream LLC,,,,,"15253 Avenue of Science, San Diego, CA, 92128, USA",,,,,,366916,,,,
SalesEngine Inc,privacy [at] salesengine.ai,http://salesengine.ai,,,"2711 Centerville Road, Suite 400Wilmington, DE 19808United States","Submit an opt out of sale request via email to privacy@salesengine.ai, on our website's Privacy Policy (https://salesengine.ai/privacy-policy/), or by submitting a request via: https://salesengine.ai/privacy-policy/do-not-sell-info/","Submit a request to demand deletion via email to privacy@salesengine.ai, on our website's Privacy Policy (https://salesengine.ai/privacy-policy/), or by submitting a request via: https://salesengine.ai/privacy-policy/delete-data-request/",,02/07/2020,,,,,,
Salesforce,,,https://www.salesforce.com/company/privacy/,,,,,,,,,,25 May 2020,,
Salutary Data LLC.,info [at] salutarydata.com,https://salutarydata.com,,,"29 Locust AvenueLexington, MA 02421United States",https://salutarydata.com/privacy-opt-out-and-disclosure-form/,https://salutarydata.com/privacy-opt-out-and-disclosure-form/,We aggregate business card like information. See this web page for our collection practice: https://salutarydata.com/how-we-do-it/,03/11/2020,,,,,,
"Sawyer Lists, LLC",admin [at] sawyerdatadirect.com,http://www.sawyerlists.com,,,"2910 E. 57th Ave, Ste 5-135Spokane, WA 99223United States",Go to www.sawyerlists.com or call 800-327-3595,Go to www.sawyerlists.com or call 800-327-3595,,01/23/2020,,,,,,
"Scanbuy, Inc.",privacy [at] scanbuy.com,http://www.scanbuy.com,,,"10 E. 39th Street, 10th FloorNYC, NY 10016United States",http://scanbuy.com/rights/data,http://scanbuy.com/rights/data,"Scanbuy collects information generally known as non-personally identifiable information (“Non-PII”) from third parties, such as from website publishers, mobile app developers, and other providers of advertising technology (collectively, “Data Suppliers”) and services in a variety of ways, including through the use of browser cookies, pixel tags, and server-to-server connections with our partners. The type of information that we may process includes Device Identifiable Information (“DII”), Hashed Emails, Location Information, Inference Data, Demographic Data and Behavioral Data. We may use the data collected for advertising, analytics, ad reporting purposes or to improve our services. We may share and allow third-party partners to share Non-PII with other third parties that perform targeted advertising activities across other apps and websites. You have the right to opt-out of our sharing your information with third parties for targeted advertising purposes by using the “Do Not Sell My Personal Information” link available in our Privacy Policy by navigating to http://scanbuy.com/services-privacy-policy. If you opt-out, you will no longer be included in the targeted advertising activities conducted by Scanbuy and/or other third-party partners. However, you will continue to receive future online ads and content which may not be personalized or relevant to you. The choices that you make with Scanbuy are browser and device specific, instructions on how to make choices across different devices can be found in our Privacy Policy by navigating to http://scanbuy.com/services-privacy-policy. Additional information about Scanbuy’s data use can be found in our Privacy Policy by navigating to http://scanbuy.com/services-privacy-policy.",03/23/2020,,,,,,
"Scryer, Inc. (dba Reonomy)",info [at] reonomy.com,http://www.reonomy.com,,,"767 Third AvenueNew York, NY 10017United States",,,,02/27/2020,,,,,,
"Seamless Contacts, Inc. d/b/a Seamless.AI or Seamless AI",privacy [at] seamlessleads.com,https://www.seamless.ai/about,,,"438 E. Wilson Bridge Road, Suite 202Worthington, OH 43085United States",Individuals may opt-out by using opt out request form located at https://login.seamless.ai/personalDataRequest. They may opt-out of the inclusion of an individual profile from Seamless.AI’s directory or search engine by emailing privacy@seamlessleads.com with the subject line “Remove.”,Individuals may opt-out or delete their information by using opt out request form located at https://login.seamless.ai/personalDataRequest. They may opt-out of the inclusion of an individual profile from Seamless.AI’s directory or search engine by emailing privacy@seamlessleads.com with the subject line “Remove.”,You may read more about Seamless.AI’s privacy practices in their Privacy Policy (available at https://www.seamless.ai/privacypolicy/) and California Consumer Privacy Policy (available at https://www.seamless.ai/california-consumer-privacy-act-policy/).,01/30/2020,,367259,,,,"Seamless Contacts, Inc. d/b/a Seamless.AI or Seamless AI"
search people free,,,,https://www.searchpeoplefree.com/opt-out,,,,,,13 Apr 2020,,,,,
Search Quarry LLC,admin [at] searchquarry.com,https://www.searchquarry.com,,,"1 East Liberty StreetSuite 600Reno, NV 89501United States","A consumer may opt out via an online form, email, phone or fax.","A consumer may opt out via an online form, email, phone or fax.",,02/27/2020,,,,,,
Searchbug,support [at] searchbug.com,http://searchbug.com,,https://www.searchbug.com/help.aspx?WHAT=people,"2101 Las Palmas Dr.ECarlsbad, CA 92011United States",Customers can follow our posted opt-out method on our privacy policy page to have their information blocked from being shown on our website. We are also working with our data providers since we are a data reseller not a data broker and do not sell our customer data. We are implementing an internal system to transmit opt out requests to our data vendors (the actual data brokers) who will then remove the information from their system. We are a very small data reseller and plan to creating a new system for opt-outs during the next few weeks.,We already comply with this for California Law enforcement and government officials manually. We typically receive those requests in writing or by email and then manually block that information from being available. We will be implementing a system to transmit those requests to our data providers as well.,"Our customers must register on our website to create an account. They are walked through registration and must read and agree to our T&C and privacy policy to open an account. We also have a strict KYC policy and require customers validate their account verbally to ensure they are who they say. We are FCRA and GLBA compliant and do not sell or sell our own customer's data. 

We are not a data broker based on the definition of ""Data Broker"", however we are a data reseller and sell data from other data brokers. So, to ensure compliance we are registering here. Our sales are well under the $25 million threshold and have fewer than 10,000 customer sign ups annually. We are more of a data validation, data hygiene, and data clean up service but do offer consumer data (just not our own) so we want to make sure we comply with CA laws.",03/10/2020,,,,,,
Second Measure,,secondmeasure.com,,,,,,,,,,,,,
Segment,,,https://www.segment.com/docs/legal/privacy/,,,,,,,,,,25 May 2020,,
Semasio GmbH,info [at] semasio.com,http://www.semasio.com,,,Hermannstrasse 13200095 HamburgGermany,We have provided a direct opt-out functionality on our website https://www.semasio.com/privacy/optout where we also request whether the opt out is being performed under CCPA. Internet users can perform their right for information on https://me.semasio.net/right-for-information/. Further information on how we handle data is accessible at https://www.semasio.com/privacy.,If the individual opts out the data is not being used anymore and deleted.,We receive cookie IDs and visited URLs which we use for profile building. We do not match that information with any other PII.,01/14/2020,,,,,,
SentiLink Corp,privacy [at] sentilink.com,http://www.sentilink.com,,,"171 2nd Street, 4th FloorSan Francisco, CA 94105United States",Send an email to privacy@sentilink.com. Please note that all data collected by SentiLink is collected for fraud prevention purposes pursuant to the under the Gramm-Leach­-Bliley Act of 1999 and its promulgating regulations.,Send an email to privacy@sentilink.com. Please note that all data collected by SentiLink is collected for fraud prevention purposes pursuant to the under the Gramm-Leach­-Bliley Act of 1999 and its promulgating regulations.,Presently all data collected by SentiLink is collected for fraud prevention purposes pursuant to the under the Gramm-Leach­-Bliley Act of 1999 and its promulgating regulations.,02/27/2020,,,,,,
"ShareThis, Inc",privacy [at] sharethis.com,https://sharethis.com/,,,"3000 El Camino Real, 5 Palo Alto Square Suite 150Palo Alto, CA 94306United States",Opt out requests may be made here: https://sharethis.com/do-not-sell-my-data-page/,Information on Data Subject Requests can be found here: https://sharethis.com/ccpa-gdpr-data-subject-access-request-page/,Information on ShareThis data collection can be found here: https://sharethis.com/privacy/,03/03/2020,,,,,,
Signal,,,https://www.signal.org/legal/#privacy-policy,,,,,,,,,,25 May 2020,,
Site Impact,DataPrivacy [at] siteimpact.com,http://siteimpact.com/,,,"6119 Lyons RoadCoconut Creek, FL 33073United States",A consumer can visit http://siteimpact.com/cali-compliance.php to make any requests under the CCPA,How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1) by visiting http://siteimpact.com/cali-compliance.php,,03/19/2020,,,,,,
Skip Smasher Inc.,info [at] skipsmasher.com,https://www.skipsmasher.com,,,"32605 Temecula Pkwy 216Temecula, CA 92592United States","Go to skipsmasher.com, scroll to page bottom, click on link Do Not Sell My Info (CA Residents Only)","Go to skipsmasher.com, scroll to page bottom, click on link Do Not Sell My Info (CA Residents Only)",Most if not all data collected is exempt under either the CCPA's GLB and public record exemptions however we are registering as the law is not clear if brokers of exempt information are still required to register.,01/31/2020,,,,,,
"Skipsmasher, Inc.",,skipsmasher.com,,,"PO Box 891329, Temecula, CA, 92589, USA",,,,,,368025,,,,
"Slashdot Media, LLC",privacy [at] slashdotmedia.com,http://www.slashdotmedia.com,,,"225 Broadway, Suite 1600San Diego, CA 92101United States","A consumer may opt out of sale or submit requests under CCPA by (i) clicking on and completing our Do Not Sell My Information button located at the bottom of our website at www.slashdotmedia.com, (ii) emailing us at privacy@slashdotmedia.com, (iii) calling us at (800) 552-9000, or (iv) by mail at : Slashdot Media
PO Box 2452
La Jolla, CA 92038
Attention: Privacy Compliance","A consumer and/or protected individual can demand deletion of information by (i) clicking on and completing our Do Not Sell My Information button located at the bottom of our website at www.slashdotmedia.com, (ii) emailing us at privacy@slashdotmedia.com, (iii) calling us at (800) 552-9000, or (iv) by mail at : Slashdot Media
PO Box 2452
La Jolla, CA 92038
Attention: Privacy Compliance",A consumer can review the categories of personal information that we collect and our data collection practices in our Privacy Statement located at https://slashdotmedia.com/privacy-statement/.,03/05/2020,,,,,,
Social Catfish LLC,welcome [at] socialcatfish.com,https://socialcatfish.com,,,"38770 Sky Canyon DriveSuite AMurrieta, CA 92563United States",,,,03/05/2020,13 Apr 2020,,,,,
"SourceIT Technologies, Inc",dataprivacy [at] sourceitmarketing.com,https://www.sourceitmarketing.com/,,,"2206 N Main StreetSuite 183Wheaton, IL 60187United States","The consumer can visit our website in the footer there is a link to Do not Sell My Personal Information and goes to https://www.sourceitmarketing.com/privacy
From that page they can request to opt out or view/manage their data. A consumer can also contact us via our toll free number 800-478-8089, or the contact form on our website.",A protected individual can visit https://www.sourceitmarketing.com/privacy to have their profile information deleted. Or give us a call at our toll free number 800-478-8089,For our data collection policies please visit our privacy policy on our website for the most up to date information.,01/31/2020,,,,,,
"Sovrn, Inc.",privacy [at] sovrn.com,https://www.sovrn.com/,,,"5541 Central AvenueSuite 100Boulder, CO 80301United States",https://www.sovrn.com/privacy-policy/,https://www.sovrn.com/your-data/,,04/08/2020,,,,,,
"Specialists Marketing Services, Inc.",dataprivacyteam [at] sms-inc.com,http://www.sms-inc.com,,,"777 Terrace AveSuite 401Hasbrouck Heights, NJ 07604United States","Consumers can exercise their rights under the CCPA by visiting our website at www.sms-inc.com and filling out a web form, or, they can send an email to dataprivacyteam@sms-inc.com to initiate their request.","Consumers can exercise their rights under the CCPA by visiting our website at www.sms-inc.com and filling out a web form, or, they can send an email to dataprivacyteam@sms-inc.com to initiate their request.",,01/30/2020,,367871,,,,"Specialists Marketing Services, Inc."
Spectrum Mailing Lists,privacy [at] spectrumlists.com,http://www.SpectrumLists.com,,,"300 Carlsbad Village DriveSuite 108ACarlsbad, CA 92008United States",Consumers can contact us via the number listed on our website or via web forms on the website. Consumers can call us toll-free at 1-800-226-6245 or they can also email privacy@spectrumlists.com.,We do not publicly post or publicly display on the Internet the home address or home telephone number of any person. A protected individual can contact us by either calling a number listed on our website or filling out a form on our website. Consumers can call us toll-free at 1-800-226-6245 or they can also email privacy@spectrumlists.com.,,02/12/2020,,,,,,
"Speedeon Data, LLC",,www.speedeondata.com,,,"5875 Landerbrook Drive, Suite 130, Cleveland, OH, 44124, USA",,,,,,352678,,,,
Spoke ,,http://www.spoke.com/,,,,,,,,,,,,,
"Spokeo, Inc.",legal [at] spokeo.com,http://www.spokeo.com,,,"199 S. Los Robles Ave #711Pasadena, CA 91101United States",California residents may opt out of the sale of their personal information by submitting an online request at https://www.spokeo.com/privacy/control. California residents may also submit a request by telephone. Our telephone number for CCPA requests is 1-877-864-0183. Additional information and instructions on how a California resident may exercise their rights under CCPA can be found in our Privacy Policy located at https://www.spokeo.com/privacy-policy.,"Consumers and/or elected or appointed officials may submit an opt-out request under Gov. Code sections 6208.1(b) or 6254.21(c)(1) by using our general public opt-out tool located at https://www.spokeo.com/optout. Consumers and/or elected or appointed officials may also submit an email request to legal@spokeo.com or by direct mail or telephone. Our telephone number is 1-877-864-0183. Our mailing address is: Spokeo, Inc., Attn: Customer Care, 556 S. Fair Oaks Ave., Suite 101-179, Pasadena, CA 91105.",The categories of personal information that we collect are described at https://www.spokeo.com/privacy/control/all-categories. Additional information about the categories of personal information that we collect can be found in our Privacy Policy located at https://www.spokeo.com/privacy-policy.,01/30/2020,13 Apr 2020,367445,,,,https://www.vice.com/en_us/article/ne9b3z/how-to-get-off-data-broker-and-people-search-sites-pipl-spokeo
"Spy Dialer, Inc.",,,,,"PO Box 890370, Temecula, CA, 92589, USA",,,,,,352473,,,,
"Spy Dialer, Inc. dba SpyDialer.com",info [at] spydialer.com,https://www.spydialer.com,,,"32605 Temecula PkwySuite 216Temecula, CA 92592United States","Go to spydialer.com, then click the link ""Do Not Sell My Info"".","Go to spydialer.com, then click the link ""Remove My Info"".","SpyDialer.com collects public data and uses it to provide the public free reverse phone lookups. The data helps site users to protect their privacy by allowing them to check the identity of callers making unwanted, missed or harassing phone calls. The site also allows anyone who wants to remove their personal data to do so -- no questions asked.",01/16/2020,13 Apr 2020,,,,,
spytox,,,,,,,,,,13 Apr 2020,,,,,
"SRAX, Inc.",contact [at] srax.com,http://srax.com,,,"456 Seaton StreetLos Angeles, CA 90013United States",They can submit a request through our website at srax.com.,They can submit a request through our website at srax.com.,None.,02/27/2020,,,,,,
Stat Resource Group LLC DBA Statlistics,michael [at] alescodata.com,http://statlistics.com,,,"5276 Summerlin Commons Way703Fort Myers, FL 33907United States",MyDataPrivacy.com,MyDataPrivacy.com,,01/30/2020,,,,,,
"Stirista, LLC",privacyinfo [at] stirista.com,https://www.stirista.com/,,,"16414 San Pedro Ave.Suite 150San Antonio, TX 78232United States","Web form, designated email, and/or toll-free number

3. How to exercise your access, opt-out and (if applicable) deletion rights

California residents may exercise their California privacy rights by sending an email to privacyinfo@stirista.com, submitting their removal request through our form, or by contacting us at (888) 320 6083.","Web form, designated email, and/or toll-free number

3. How to exercise your access, opt-out and (if applicable) deletion rights

California residents may exercise their California privacy rights by sending an email to privacyinfo@stirista.com, submitting their removal request through our form, or by contacting us at (888) 320 6083.","Stirista aggregates publicly available information from white & yellow pages, social networks, online surveys, research panels, voter files, utility requests, real estate listings, and other public sources. This information includes but is not limited to demographic, name, email, postal address, and interest information. This data is then indexed and aggregated to create a profile.

We use this data to create online segments that are grouped together based on demographic or behavioral profiles. This data is used to send relevant marketing messages on behalf of our marketers using the best practice guidelines established by the Direct Marketing Association through online and offline channels. Stirista NEVER collects sensitive information, such as Social Security or Credit Card numbers for the purpose of sending marketing messages.

Information may be collected by third parties through emails and communications from Stirista. We may collect, share, or sell user data with third-parties. These third parties including marketing consultants, advertisers, advertising technology platforms, and data preparation and processing services. Third parties may combine user data with data collected across the internet or from other sites.

We and our partners use this information to recognize you across different channels and platforms over time for advertising, analytics, attribution, and reporting purposes. For example, our partners may deliver and/or enable delivery of ads to you in your web browser based on a purchase you made in a physical retail store or based on the fact that you visited a particular website.",02/12/2020,,,,,,
Suarez Corporation Industries,cserv@suarez.com,,,http://www.suarez.com/privacy-policy/,,"Email, mail, or telephone information requested.",,,,,,14 Apr 2020,,,
Swordfish,contact [at] swordfishapp.com,http://www.swordfishapp.com,,,"Unit 1, Knighton HeathRingwood RoadBournemouthDorsetBH11 8NEUnited Kingdom","A consumer may opt out either by submitting a form on our website or by telephone
https://swordfishapp.com/Optout",We do not post on the Internet or publicly display the personal information of any consumer.,"Our practices are outlined as per our privacy page on our website. 
California residents are directed to a special URL that includes our CCPA privacy statement.",04/01/2020,,,,,,
"Taboola, Inc.",privacy [at] taboola.com,http://www.taboola.com,,,"16 Madison Square West, 7th FloorNew York, NY 10010United States","California consumers may opt out of Taboola’s disclosures and sales of personal information via Taboola’s California Consumer Rights Portal, which is available at https://ccparequest.taboola.com. Please note that this feature is currently only available for California state residents. Individuals that do not reside in California may visit Taboola's Data Subject Access Request Portal, which is available at https://accessrequest.taboola.com.","California consumers may request that Taboola delete any personal information that we hold about you via Taboola's Data Subject Access Request Portal, which is available at https://accessrequest.taboola.com.","Taboola provides consumers with personalized content and advertisements across thousands of global digital properties. To do so, Taboola maintains pseudonymous data about consumers, which means that we do not know the consumer’s identity because we do not process names, email address, or other identifiable data. Instead, we only process digital identifiers such as cookie IDs, IP addresses, and mobile advertising IDs from the consumer's device (for a full list of the pseudonymized data that we process, please see Taboola's Privacy Policy, available at https://www.taboola.com/privacy-policy). 

Taboola may disclose or make available consumers' pseudonymous data to our trusted partners. In most cases when we do so, we have contractually restricted their uses of this data for only Taboola’s business purposes. Under the CCPA, such disclosures of Personal Information to service providers are not deemed to be a “sale” and thus are not prohibited after a consumer exercises his or her right to cease or restrict disclosures or sales of data. In any instances where we have not entered into a service provider relationship with a third party company, we will stop sharing the consumer's data when instructed to not “sell” the personal information.",02/07/2020,,,,,,
TALX CORPORATION,,www.theworknumber.com,,,"11432 Lackland Road, Suite 337, St. Louis, MO, 63146, USA",,,,,,353290,,,,
"Tapad, Inc.",privacy [at] tapad.com,https://www.tapad.com/,https://www.tapad.com/privacy-policy,,"551 Fifth Avenue9th FloorNew York, NY 10176United States","Consumers can opt out in a number of ways on Tapad's website. We also provide opt-out opportunities to consumers through our memberships with the NAI and DAA, both of which provide centralized opt-out mechanisms. We require all Partners and Clients to direct consumers to either the Tapad Privacy Notice or one of the industry opt-out mechanisms to ensure notice and access to object to data processing or sale of information by Tapad. Tapad presents “Do Not Sell My Personal Information” links on all of its website pages and offers a toll-free number for submission of requests.

Tapad presents consumers with many ways to exercise their choices regarding data collection and processing via our website and Privacy Notice where they may elect to opt out, access or erase their data. The primary way for a consumer to exercise their rights is by emailing privacy@tapad.com. Tapad corresponds directly with the requestor to fulfill their requests and requires their cookie IDs / MAIDs in order to run queries in our databases.

Access, deletion and opt-outs are all available to consumers via this method.",N/A,,02/27/2020,,,,25 May 2020,,
TargetSmart Communications LLC,privacy [at] targetsmart.com,https://privacy.targetsmart.com/,,,"1155 15TH ST NW SUITE 750WASHINGTON, DC 20006United States","Direct link to web form: https://privacy.targetsmart.com/do-not-sell-my-personal-information
CCPA privacy request by phone: 888-678-6880","Direct link to web form: https://privacy.targetsmart.com/do-not-sell-my-personal-information
CCPA privacy request by phone: 888-678-6880","Information about TargetSmart's practices can be found in these links.

https://privacy.targetsmart.com/
https://privacy.targetsmart.com/privacy-policy
https://privacy.targetsmart.com/cookie-policy",01/30/2020,,,,,,
Tealium,,,https://www.tealium.com/privacy/,,,,,,,,,,25 May 2020,,
"TechTarget, Inc.",legal [at] techtarget.com,http://www.techtarget.com,,,"275 Grove StreetNewton, MA 02466United States","A consumer may opt out of sale or submit requests under the CCPA by (i) completing our web form located at https://www.techtarget.com/CA-rights-request/, (ii) emailing us at privacy@techtarget.com, or (iii) calling us at (888) 274-4111.","A consumer and/or protected individual can demand deletion of information by (i) completing our web form located at https://www.techtarget.com/CA-rights-request/, (ii) emailing us at privacy@techtarget.com, or (iii) calling us at (888) 274-4111.",A consumer can review the categories of personal information that we collect and our data collecting practices in our Privacy Notice for California Residents located at https://www.techtarget.com/ccpa-privacy-notice/. Additional information about data collection and use can be found in our Privacy Policy located at https://www.techtarget.com/privacy-policy .,02/07/2020,,367909,,,,"TechTarget, Inc."
"Teletrack, LLC",,www.corelogic.com,,,"10277 Scripps Ranch Blvd, San Diego, CA, 92131, USA",,,,,,352847,,,,
thats them,,https://thatsthem.com/,,http://www.spoke.com/,,,,,,13 Apr 2020,,,,,
The Alesco Group LLC,michael [at] alescodata.com,http://Alescodata.com,,,"5276 Summerlin Commons Way703Fort Myers, FL 33907United States",MyDataPrivacy.com,MyDataPrivacy.com,,01/30/2020,,,,,,
Throtle,privacy [at] throtle.io,https://www.throtle.io,,,"141 West Front StreetSuite 410Red Bank, NJ 07701United States",By visiting our data privacy manager via our website or by calling our toll-free number which is posted on our website.,By visiting our data privacy manager via our website or by calling our toll-free number which is posted on our website.,Users can visit our privacy policy for details on our data collecting practices.,01/31/2020,,,,,,
"TouchFuse, LLC DBA Acquire Direct Marketing",DataCompliance [at] AcquireDirect.com,http://www.AcquireDirect.com,,,"12620 Race Track RoadTampa, FL 33626United States","A consumer may opt out of sale or submit requests under the CCPA by calling 855-940-DATA or going online to www.LeadJig.com or www.TouchFuse.com and clicking the link titled ""Do Not Sell My Data"" located at the bottom of the website.",A consumer may demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1) by completing the form located on our website or emailing DataCompliance@AcquireDirect.com.,,02/27/2020,,,,,,
"TowerData, Inc.",privacy [at] towerdata.com,https://www.towerdata.com,https://www.towerdata.com/privacy-policy,,"33 Irving Place, 3rd FloorNew York, NY 10003United States","Consumers may opt out by using this form https://www.towerdata.com/ccpa-form, emailing privacy@towerdata.com, calling 866-377-3630 or mailing to 
TowerData, Inc.
Attn: Privacy Officer
33 Irving Place, 3rd Floor
New York, New York 10003","Consumers may demand deletion using this form https://www.towerdata.com/ccpa-form, emailing privacy@towerdata.com, calling 866-377-3630 or mailing to 
TowerData, Inc.
Attn: Privacy Officer
33 Irving Place, 3rd Floor
New York, New York 10003",,02/12/2020,,,,25 May 2020,,
"Traackr, Inc.",legal [at] traackr.com,https://www.traackr.com/,,,"211 Sutter StreetSuite 600San Francisco, CA 94108United States","California residents may opt out of the sale of their personal information or submit requests under CCPA by either (1) calling us at +1-855-872-2257; (2) submitting an online request at https://www.traackr.com/data-opt-out; (3) contacting us by email at legal@traackr.com; or (4) by direct mail. Our mailing address is Traackr Inc., Attention: Legal, 211 Sutter Street, Suite 600, San Francisco, California 94108. If necessary, Traackr may request additional information to verify a consumer's identity and complete the request.","Traackr is not in the business of publicly posting personal information. Any individual can submit a deletion request by (1) calling us at +1-855-872-2257; (2) submitting an online request at https://www.traackr.com/data-opt-out; (3) submitting an email request to legal@traackr.com; or (4) by direct mail. Our mailing address is Traackr Inc., Attention: Legal, 211 Sutter Street, Suite 600, San Francisco, California 94108. If necessary, Traackr may request additional information to verify a consumer's identity and complete the request.","For more information about Traackr's data collection practices, please see Traackr's Influencer Privacy Notice located at the following link: https://www.traackr.com/infl-privacy-notice.",03/03/2020,,,,,,
"Tracers Information Specialists, Inc.",,www.tracersinfo.com,,,"15740 Flight Path dr, Brooksville, FL, 34604, USA",,,,,,366895,,,,
Trans Union Content Solutions LLC,mick.forde [at] transunion.com,https://www.transunion.com/consumer-privacy,,,"555 West Adams StreetChicago, IL 60661United States",TransUnion provides two methods for consumers to submit requests under the CCPA and opt-out of the sale of their personal information. A consumer can visit the online portal at https://www.transunion.com/consumer-privacy or call 1-866-310-8783.,"TransUnion does not knowingly post online information governed by Gov. Code sections 6208.1(b) or 6254.21(c)(1) or maintain a website that allows others to post information and thereby create a risk of such information being posted online. However, a protected individual can call 1-866-310-8783 to demand deletion in the event any such information is posted online.",,03/03/2020,,,,,,
Trans Union LLC,mick.forde [at] transunion.com,https://www.transunion.com/consumer-privacy,,https://service.transunion.com/dss/cpa/tuDataOptions.page?,"555 West Adams StreetChicago, IL 60661United States",TransUnion provides two methods for consumers to submit requests under the CCPA and opt-out of the sale of their personal information. A consumer can visit the online portal at https://www.transunion.com/consumer-privacy or call 1-866-310-8783.,"TransUnion does not knowingly post online information governed by Gov. Code sections 6208.1(b) or 6254.21(c)(1) or maintain a website that allows others to post information and thereby create a risk of such information being posted online. However, a protected individual can call 1-866-310-8783 to demand deletion in the event any such information is posted online.",,03/03/2020,,353319,,,,TransUnion
TransUnion Corp.,,,,http://www.transunion.com/corporate/business/datareporting/support/opt-out.page,,"Complete online form at www.optoutprescreen.com. Call toll free at 1-888-5-OPT OUT (or 1-888-567-8688). Mail to ""TransUnion, Name Removal Option, P.O. Box 505, Woodlyn, PA 19094.""",,,,,,14 Apr 2020,,,
TransUnion Digital LLC,mick.forde [at] transunion.com,https://www.transunion.com/consumer-privacy,,,"555 West Adams StreetChicago, IL 60661United States",TransUnion provides two methods for consumers to submit requests under the CCPA and opt-out of the sale of their personal information. A consumer can visit the online portal at https://www.transunion.com/consumer-privacy or call 1-866-310-8783.,"TransUnion does not knowingly post online information governed by Gov. Code sections 6208.1(b) or 6254.21(c)(1) or maintain a website that allows others to post information and thereby create a risk of such information being posted online. However, a protected individual can call 1-866-310-8783 to demand deletion in the event any such information is posted online.",,03/03/2020,,,,,,
"TransUnion Risk and Alternative Data Solutions, Inc.",mick.forde [at] transunion.com,https://www.transunion.com/consumer-privacy,,,"555 West Adams StreetChicago, IL 60661United States",TransUnion provides two methods for consumers to submit requests under the CCPA and opt-out of the sale of their personal information. A consumer can visit the online portal at https://www.transunion.com/consumer-privacy or call 1-866-310-8783.,"TransUnion does not knowingly post online information governed by Gov. Code sections 6208.1(b) or 6254.21(c)(1) or maintain a website that allows others to post information and thereby create a risk of such information being posted online. However, a protected individual can call 1-866-310-8783 to demand deletion in the event any such information is posted online.",,03/03/2020,,,,,,
"Traverse Data, Inc.",craig [at] traversedata.com,http://www.traversedata.com,,,"113 Cherry Street, #66106Seattle, WA 98104United States","Requests to know methods include a toll-free number and our web form.
Requests to delete methods include a toll-free number, webform, email, and physical mail.
Requests to opt out include a link on our website, and also our web form plus email, physical mail, etc.","Requests to delete methods include a toll-free number, webform, email, and physical mail. The web form can be found here: http://www.traversedata.com/contact?form=privacy",,02/12/2020,,,,,,
Treasure Data,,,https://www.treasuredata.com/privacy/,,,,,,,,,,25 May 2020,,
true people search,,,,,,,,,,13 Apr 2020,,,,,
TrueData,,,https://www.truedata.co/privacy-policy/,,,,,,,,,,25 May 2020,,
"TrueData Solutions, Inc.",privacy [at] truedata.co,https://www.truedata.co,,,"c/o TrueData Privacy Office555 W 5th Street, 35th FloorLos Angeles, CA 90013United States","Consumers may opt-out of sale or submit requests by email (privacy@truedata.co), by webform (https://info.truedata.co/are-you-in), or by clicking the ""DO NOT SELL MY INFO"" button at the bottom of all of our webpages.","Protected individuals may demand deletion by email (privacy@truedata.co), by webform (https://info.truedata.co/are-you-in), or by clicking the ""DO NOT SELL MY INFO"" button at the bottom of all of our webpages. Please add a note explaining the type of request made or citing the statute so we can easily understand the purpose of the request.",Please see our Privacy Policy: https://www.truedata.co/privacy-policy/,02/07/2020,,,,,,
"TruthFinder, LLC",help [at] truthfinder.com,http://www.truthfinder.com,,https://www.truthfinder.com/opt-out/,"2534 State Street, No. 473San Diego, CA 92101United States","A consumer may opt out of sale or submit requests under the CCPA by visiting https://www.truthfinder.com/opt-out/v2/ (which can be accessed directly at the provided URL or by clicking the “Do Not Sell My Info” hyperlink on the TruthFinder homepage), emailing TruthFinder customer support at help@truthfinder.com or calling TruthFinder during business hours at (800) 699-8081.","TruthFinder requests that demands for deletion of information under Gov. Code Sections 6208.1(b) or 6254.21(c)(1) be made by delivering a written request via email to help@truthfinder.com or by mail at 2534 State Street, No. 473, San Diego, CA 92101.",,03/03/2020,,,,,,
"TRUTHFINDER, LLC",,,,,"600 B Street, 9th Floor, San Diego, CA, 92101, USA",,,,,,353474,,,,
Tymax Media,privacyofficer [at] datacomplianceportal.com,http://tymaxmedia.com,,,"3755 Avocado Blvd305La Mesa, CA 91941United States",Consumers can visit http://tymaxmedia.com/ccpa.php and click on the link to visit our data compliance portal.,Consumers can visit http://tymaxmedia.com/ccpa.php and click on the link to visit our data compliance portal.,Additional information is available at http://tymaxmedia.com/privacy.php,02/12/2020,,,,,,
